apples, drug, territory, bead, key, cabbage, minister, neck, jeans, income, credit, rifle, tomatoes, stem, needle, pigs, hour
-2, 1, 0, Z, 137299784294307, 16851, 0, 12049.347702, -11010655.265625, 0, 1, 1, 0, 1344404726, grape, 3, 0.000000
1, 1, fffe, @, -5419519784462616309, 2749216651, 0, 0.053986, -9578.859375, 0, 1, 1, 0, -1452604720, cakes, 107, 9.050685
97, 0, 7505, E, 1, 181596, 0, 1.000000, -378.859375, 1, 1, 1, 1, 1, cord, 35, -621.604736
-97, 0, 7505, K, 124040741472428117, 477, 0, -10585.836502, 12178392.781250, 1, 0, 1, 1, 0, ornament, 229, -621.604736
0, 0, fe95, 6, -7217457139559075222, 1005284642, 1, -9714.441681, -14280449.109375, 0, 0, 0, 1, 366, tent, 16, -1.173122
9, 0, 1, 0, 5468170356932775, 46761, 0, 0.000000, 1.000000, 1, 0, 0, 0, 482, suggestion, 1, 0.000001
-2, 1, 12, j, 2, 16851, 1, 3.555832, -11010655.265625, 0, 0, 1, 0, 1344404726, window, 3, 0.000000
-111, 0, 8616, e, 0, 7619, 1, 0.002197, 16.546875, 0, 0, 1, 0, -3662, soda, 0, -770.638245
0, 0, 96df, @, 486, 0, 1, -0.029846, 0.000000, 1, 1, 1, 0, -1084453139, list, 107, 9.050685
-2, 1, 8191, k, -7925168240425700288, 1, 0, -13603.992203, -9260489.546875, 0, 0, 1, 0, -1862986106, basketball, 7, 843.343872
-90, 0, ff1a, !, 6538542192940726595, 44417, 1, -0.000076, -444041.078125, 0, 1, 1, 0, 24721589, polish, 3, 1.000000
